Date: 2020-10-16-17-57-50 lvl: 3 message: Started testing!
Date: 2020-10-16-17-57-50 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-50 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-50 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Created source
Date: 2020-10-16-17-57-50 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-50 lvl: 1 message: Created source
Date: 2020-10-16-17-57-50 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-50 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-50 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed detector
Date: 2020-10-16-17-57-50 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-50 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-51 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-52 lvl: 1 message: Created detector
Date: 2020-10-16-17-57-52 lvl: 1 message: Created source
Date: 2020-10-16-17-57-53 lvl: 1 message: Created gun
Date: 2020-10-16-17-57-53 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-53 lvl: 1 message: Removed gun
Date: 2020-10-16-17-57-53 lvl: 1 message: Removed source
Date: 2020-10-16-17-57-53 lvl: 1 message: Removed source
